Ticker,Name,Price,Market Cap,GICS Ind Name,GICS Sector,Sec Type
AM UN Equity,Antero Midstream Corp,9.72,4650611200,"Oil, Gas & Consumable Fuels",Energy,Common Stock
COLM UW Equity,Columbia Sportswear Co,74.87,4648766976,"Textiles, Apparel & Luxury Goods",Consumer Discretionary,Common Stock
THO UN Equity,Thor Industries Inc,84.89,4629148160,Automobiles,Consumer Discretionary,Common Stock
SAM UN Equity,Boston Beer Co Inc/The,375.87,4620785152,Beverages,Consumer Staples,Common Stock
ESNT UN Equity,Essent Group Ltd,42.83,4608540672,Thrifts & Mortgage Finance,Financials,Common Stock
MSM UN Equity,MSC Industrial Direct Co Inc,82.07,4594654208,Trading Companies & Distributors,Industrials,Common Stock
AVT UW Equity,Avnet Inc,46.6,4551968768,"Electronic Equipment, Instruments & Components",Information Technology,Common Stock
CROX UW Equity,Crocs Inc,73.61,4538085376,"Textiles, Apparel & Luxury Goods",Consumer Discretionary,Common Stock
NARI UW Equity,Inari Medical Inc,84.69,4521572352,Health Care Equipment & Supplies,Health Care,Common Stock
THG UN Equity,Hanover Insurance Group Inc/The,126.82,4519135232,Insurance,Financials,Common Stock
UMBF UW Equity,UMB Financial Corp,93.19,4501662208,Banks,Financials,Common Stock
FOXF UW Equity,Fox Factory Holding Corp,106.05,4481962496,Auto Components,Consumer Discretionary,Common Stock
WEN UW Equity,Wendy's Co/The,20.89,4475614720,"Hotels, Restaurants & Leisure",Consumer Discretionary,Common Stock
SMG UN Equity,Scotts Miracle-Gro Co/The,80.75,4472936960,Chemicals,Materials,Common Stock
FLS UN Equity,Flowserve Corp,33.82,4420052480,Machinery,Industrials,Common Stock
MTG UN Equity,MGIC Investment Corp,14.52,4405948416,Thrifts & Mortgage Finance,Financials,Common Stock
CUZ UN Equity,Cousins Properties Inc,28.98,4388565504,Equity Real Estate Investment Trusts (REITs),Real Estate,REIT
OGS UN Equity,ONE Gas Inc,80.57,4361860096,Gas Utilities,Utilities,Common Stock
SSD UN Equity,Simpson Manufacturing Co Inc,100.64,4343616000,Building Products,Industrials,Common Stock
KRG UN Equity,Kite Realty Group Trust,19.79,4336265216,Equity Real Estate Investment Trusts (REITs),Real Estate,REIT
NJR UN Equity,New Jersey Resources Corp,44.69,4300446208,Gas Utilities,Utilities,Common Stock
UNVR UN Equity,Univar Solutions Inc,25.75,4294948608,Trading Companies & Distributors,Industrials,Common Stock
ICUI UW Equity,ICU Medical Inc,179.63,4292444160,Health Care Equipment & Supplies,Health Care,Common Stock
GO UW Equity,Grocery Outlet Holding Corp,44.54,4292204288,Food & Staples Retailing,Consumer Staples,Common Stock
FNB UN Equity,FNB Corp/PA,12.05,4226269440,Banks,Financials,Common Stock
ELY UN Equity,Callaway Golf Co,22.82,4216460800,Leisure Products,Consumer Discretionary,Common Stock
CHX UW Equity,ChampionX Corp,20.72,4204769792,Energy Equipment & Services,Energy,Common Stock
SPWR UW Equity,SunPower Corp,24.08,4192155904,Semiconductors & Semiconductor Equipment,Information Technology,Common Stock
NSP UN Equity,Insperity Inc,109.34,4157744384,Professional Services,Industrials,Common Stock
HWC UW Equity,Hancock Whitney Corp,48.22,4133221888,Banks,Financials,Common Stock
PNM UN Equity,PNM Resources Inc,48.1,4128657408,Electric Utilities,Utilities,Common Stock
JHG UN Equity,Janus Henderson Group PLC,24.57,4070214656,Capital Markets,Financials,Common Stock
CBT UN Equity,Cabot Corp,71.95,4060403968,Chemicals,Materials,Common Stock
STAA UQ Equity,STAAR Surgical Co,84.51,4040529920,Health Care Equipment & Supplies,Health Care,Common Stock
UAA UN Equity,Under Armour Inc,9.33,4027946496,"Textiles, Apparel & Luxury Goods",Consumer Discretionary,Common Stock
UA UN Equity,Under Armour Inc,8.45,4027946496,"Textiles, Apparel & Luxury Goods",Consumer Discretionary,Common Stock
MAN UN Equity,ManpowerGroup Inc,77.66,4018287104,Professional Services,Industrials,Common Stock
WING UW Equity,Wingstop Inc,134.13,4012414208,"Hotels, Restaurants & Leisure",Consumer Discretionary,Common Stock
R UN Equity,Ryder System Inc,78.25,4005982208,Road & Rail,Industrials,Common Stock
AVNT UN Equity,Avient Corp,43.55,3960303872,Chemicals,Materials,Common Stock
EVR UN Equity,Evercore Inc,101.0,3953564928,Capital Markets,Financials,Common Stock
EPR UN Equity,EPR Properties,52.44,3933768448,Equity Real Estate Investment Trusts (REITs),Real Estate,REIT
AMED UW Equity,Amedisys Inc,121.17,3931159552,Health Care Providers & Services,Health Care,Common Stock
KSS UN Equity,Kohl's Corp,30.55,3924498176,Multiline Retail,Consumer Discretionary,Common Stock
OLLI UQ Equity,Ollie's Bargain Outlet Holdings Inc,62.79,3924042496,Multiline Retail,Consumer Discretionary,Common Stock
HBI UN Equity,Hanesbrands Inc,11.2,3906288128,"Textiles, Apparel & Luxury Goods",Consumer Discretionary,Common Stock
VNT UN Equity,Vontier Corp,24.72,3904363264,"Electronic Equipment, Instruments & Components",Information Technology,Common Stock
DOC UN Equity,Physicians Realty Trust,17.24,3901770752,Equity Real Estate Investment Trusts (REITs),Real Estate,REIT
MMS UN Equity,Maximus Inc,64.33,3895218688,IT Services,Information Technology,Common Stock
ZD UW Equity,Ziff Davis Inc,82.04,3880195328,Interactive Media & Services,Communication Services,Common Stock
DEI UN Equity,Douglas Emmett Inc,22.04,3874282496,Equity Real Estate Investment Trusts (REITs),Real Estate,REIT
YETI UN Equity,YETI Holdings Inc,44.94,3872047616,Leisure Products,Consumer Discretionary,Common Stock
CALX UN Equity,Calix Inc,59.16,3859628800,Communications Equipment,Information Technology,Common Stock
SLM UW Equity,SLM Corp,15.33,3853718784,Consumer Finance,Financials,Common Stock
UMPQ UW Equity,Umpqua Holdings Corp,17.71,3843967488,Banks,Financials,Common Stock
TNDM UQ Equity,Tandem Diabetes Care Inc,59.54,3823730944,Health Care Equipment & Supplies,Health Care,Common Stock
KEX UN Equity,Kirby Corp,63.16,3808548096,Marine,Industrials,Common Stock
SR UN Equity,Spire Inc,72.31,3795752704,Gas Utilities,Utilities,Common Stock
ETRN UN Equity,Equitrans Midstream Corp,8.77,3795489280,"Oil, Gas & Consumable Fuels",Energy,Common Stock
LANC UW Equity,Lancaster Colony Corp,137.83,3793357312,Food Products,Consumer Staples,Common Stock
PGNY UW Equity,Progyny Inc,41.15,3789129984,Health Care Providers & Services,Health Care,Common Stock
JWN UN Equity,Nordstrom Inc,23.51,3775215104,Multiline Retail,Consumer Discretionary,Common Stock
GT UW Equity,Goodyear Tire & Rubber Co/The,13.23,3741481728,Auto Components,Consumer Discretionary,Common Stock
TDC UN Equity,Teradata Corp,35.71,3670988032,Software,Information Technology,Common Stock
TNL UN Equity,Travel + Leisure Co,43.77,3668998912,"Hotels, Restaurants & Leisure",Consumer Discretionary,Common Stock
GPS UN Equity,Gap Inc/The,9.74,3584009216,Specialty Retail,Consumer Discretionary,Common Stock
HAE UN Equity,Haemonetics Corp,69.58,3569411072,Health Care Equipment & Supplies,Health Care,Common Stock
GATX UN Equity,GATX Corp,100.79,3557886976,Trading Companies & Distributors,Industrials,Common Stock
SXT UN Equity,Sensient Technologies Corp,84.61,3556829184,Chemicals,Materials,Common Stock
SMTC UW Equity,Semtech Corp,55.74,3538251520,Semiconductors & Semiconductor Equipment,Information Technology,Common Stock
SBRA UW Equity,Sabra Health Care REIT Inc,15.18,3506107392,Equity Real Estate Investment Trusts (REITs),Real Estate,REIT
ALE UN Equity,ALLETE Inc,61.18,3491662848,Electric Utilities,Utilities,Common Stock
HIW UN Equity,Highwoods Properties Inc,33.18,3490033408,Equity Real Estate Investment Trusts (REITs),Real Estate,REIT
VC UW Equity,Visteon Corp,122.65,3449172480,Auto Components,Consumer Discretionary,Common Stock
FCFS UW Equity,FirstCash Holdings Inc,73.06,3436440576,Consumer Finance,Financials,Common Stock
BRBR UN Equity,BellRing Brands Inc,24.96,3400660480,Personal Products,Consumer Staples,Common Stock
PK UN Equity,Park Hotels & Resorts Inc,15.05,3383881984,Equity Real Estate Investment Trusts (REITs),Real Estate,REIT
PACW UW Equity,PacWest Bancorp,27.9,3356035840,Banks,Financials,Common Stock
VICR UW Equity,Vicor Corp,76.28,3355085056,Electrical Equipment,Industrials,Common Stock
TRIP UW Equity,TripAdvisor Inc,23.86,3336676864,Interactive Media & Services,Communication Services,Common Stock
LIVN UW Equity,LivaNova PLC,61.88,3313410048,Health Care Equipment & Supplies,Health Care,Common Stock
GEF UN Equity,Greif Inc,68.25,3307706368,Containers & Packaging,Materials,Common Stock
FLR UN Equity,Fluor Corp,23.08,3279268352,Construction & Engineering,Industrials,Common Stock
PCH UW Equity,PotlatchDeltic Corp,46.99,3255083008,Equity Real Estate Investment Trusts (REITs),Real Estate,REIT
SFM UW Equity,Sprouts Farmers Market Inc,30.28,3253745664,Food & Staples Retailing,Consumer Staples,Common Stock
PZZA UW Equity,Papa John's International Inc,91.95,3250178048,"Hotels, Restaurants & Leisure",Consumer Discretionary,Common Stock
BHF UW Equity,Brighthouse Financial Inc,45.13,3241117696,Insurance,Financials,Common Stock
BOH UN Equity,Bank of Hawaii Corp,80.52,3235518208,Banks,Financials,Common Stock
CRI UN Equity,Carter's Inc,81.73,3187173888,"Textiles, Apparel & Luxury Goods",Consumer Discretionary,Common Stock
TMHC UN Equity,Taylor Morrison Home Corp,27.83,3163134720,Household Durables,Consumer Discretionary,Common Stock
ENOV UN Equity,Enovis Corp,58.42,3162247168,Health Care Equipment & Supplies,Health Care,Common Stock
ADNT UN Equity,Adient PLC,33.05,3133591552,Auto Components,Consumer Discretionary,Common Stock
CATY UW Equity,Cathay General Bancorp,42.06,3130184448,Banks,Financials,Common Stock
HELE UW Equity,Helen of Troy Ltd,130.05,3117098752,Household Durables,Consumer Discretionary,Common Stock
DY UN Equity,Dycom Industries Inc,104.65,3092613888,Construction & Engineering,Industrials,Common Stock
VSCO UN Equity,Victoria's Secret & Co,37.2,3090535424,Specialty Retail,Consumer Discretionary,Common Stock
NWE UW Equity,NorthWestern Corp,54.5,3060177664,Multi-Utilities,Utilities,Common Stock
ASB UN Equity,Associated Banc-Corp,20.35,3058715136,Banks,Financials,Common Stock
SLG UN Equity,SL Green Realty Corp,46.79,3040891648,Equity Real Estate Investment Trusts (REITs),Real Estate,REIT
FHI UN Equity,Federated Hermes Inc,34.04,3034381824,Capital Markets,Financials,Common Stock
ENV UN Equity,Envestnet Inc,54.9,3030308608,Software,Information Technology,Common Stock
NEU UN Equity,NewMarket Corp,300.3,3006917376,Chemicals,Materials,Common Stock
CNX UN Equity,CNX Resources Corp,15.77,2987659264,"Oil, Gas & Consumable Fuels",Energy,Common Stock
ACIW UW Equity,ACI Worldwide Inc,26.15,2982335744,Software,Information Technology,Common Stock
SITM UQ Equity,SiTime Corp,140.06,2981386240,Semiconductors & Semiconductor Equipment,Information Technology,Common Stock
TCBI UW Equity,Texas Capital Bancshares Inc,59.75,2980597504,Banks,Financials,Common Stock
BLKB UW Equity,Blackbaud Inc,56.03,2971267584,Software,Information Technology,Common Stock
OFC UN Equity,Corporate Office Properties Trust,26.41,2969099520,Equity Real Estate Investment Trusts (REITs),Real Estate,REIT
PDCO UW Equity,Patterson Cos Inc,30.43,2961907456,Health Care Providers & Services,Health Care,Common Stock
BDC UN Equity,Belden Inc,66.8,2956312576,"Electronic Equipment, Instruments & Components",Information Technology,Common Stock
VSH UN Equity,Vishay Intertechnology Inc,20.7,2955493632,"Electronic Equipment, Instruments & Components",Information Technology,Common Stock
MRCY UW Equity,Mercury Systems Inc,50.97,2939604992,Aerospace & Defense,Industrials,Common Stock
WLY UN Equity,John Wiley & Sons Inc,51.85,2892929280,Media,Communication Services,Common Stock
JBLU UW Equity,JetBlue Airways Corp,8.68,2811055872,Airlines,Industrials,Common Stock
GHC UN Equity,Graham Holdings Co,578.3,2800313600,Diversified Consumer Services,Consumer Discretionary,Common Stock
KMPR UN Equity,Kemper Corp,43.73,2792244992,Insurance,Financials,Common Stock
ENS UN Equity,EnerSys,68.43,2781857792,Electrical Equipment,Industrials,Common Stock
KBH UN Equity,KB Home,31.7,2763153408,Household Durables,Consumer Discretionary,Common Stock
FULT UW Equity,Fulton Financial Corp,16.55,2763135488,Banks,Financials,Common Stock
IBOC UW Equity,International Bancshares Corp,44.24,2753591552,Banks,Financials,Common Stock
XRX UW Equity,Xerox Holdings Corp,17.56,2719175168,"Technology Hardware, Storage & Peripherals",Information Technology,Common Stock
LOPE UW Equity,Grand Canyon Education Inc,84.67,2706306816,Diversified Consumer Services,Consumer Discretionary,Common Stock
JBGS UN Equity,JBG SMITH Properties,23.58,2697337088,Equity Real Estate Investment Trusts (REITs),Real Estate,REIT
BCO UN Equity,Brink's Co/The,56.83,2684827136,Commercial Services & Supplies,Industrials,Common Stock
NUVA UW Equity,NuVasive Inc,51.47,2679579648,Health Care Equipment & Supplies,Health Care,Common Stock
ESAB UN Equity,Esab Corp,44.6,2677530368,Machinery,Industrials,Common Stock
WERN UW Equity,Werner Enterprises Inc,42.2,2676136960,Road & Rail,Industrials,Common Stock
FL UN Equity,Foot Locker Inc,28.31,2675585792,Specialty Retail,Consumer Discretionary,Common Stock
NGVT UN Equity,Ingevity Corp,68.72,2614715904,Chemicals,Materials,Common Stock
WOR UN Equity,Worthington Industries Inc,51.55,2552955904,Metals & Mining,Materials,Common Stock
VSAT UW Equity,Viasat Inc,33.76,2550629632,Communications Equipment,Information Technology,Common Stock
CVLT UW Equity,CommVault Systems Inc,56.82,2545909760,Software,Information Technology,Common Stock
KD UN Equity,Kyndryl Holdings Inc,10.95,2472099328,IT Services,Information Technology,Common Stock
SABR UW Equity,Sabre Corp,7.5,2461397760,IT Services,Information Technology,Common Stock
PEB UN Equity,Pebblebrook Hotel Trust,18.68,2455524096,Equity Real Estate Investment Trusts (REITs),Real Estate,REIT
MLKN UW Equity,MillerKnoll Inc,30.9,2343554048,Commercial Services & Supplies,Industrials,Common Stock
TEX UN Equity,Terex Corp,34.11,2312657920,Machinery,Industrials,Common Stock
NEOG UW Equity,Neogen Corp,21.42,2309884160,Health Care Equipment & Supplies,Health Care,Common Stock
DAN UN Equity,Dana Inc,15.92,2282183424,Auto Components,Consumer Discretionary,Common Stock
WAFD UW Equity,Washington Federal Inc,34.39,2246501632,Banks,Financials,Common Stock
NAVI UW Equity,Navient Corp,15.82,2244520960,Consumer Finance,Financials,Common Stock
MAC UN Equity,Macerich Co/The,10.38,2228017664,Equity Real Estate Investment Trusts (REITs),Real Estate,REIT
CBRL UW Equity,Cracker Barrel Old Country Store Inc,96.58,2200922624,"Hotels, Restaurants & Leisure",Consumer Discretionary,Common Stock
NUS UN Equity,Nu Skin Enterprises Inc,43.35,2183999232,Personal Products,Consumer Staples,Common Stock
ENR UN Equity,Energizer Holdings Inc,30.54,2175983104,Household Products,Consumer Staples,Common Stock
KMT UN Equity,Kennametal Inc,26.24,2168432128,Machinery,Industrials,Common Stock
CNO UN Equity,CNO Financial Group Inc,18.3,2093477504,Insurance,Financials,Common Stock
MTX UN Equity,Minerals Technologies Inc,63.67,2075304064,Chemicals,Materials,Common Stock
HAIN UW Equity,Hain Celestial Group Inc/The,23.0,2065341696,Food Products,Consumer Staples,Common Stock
AEO UN Equity,American Eagle Outfitters Inc,12.06,2042988416,Specialty Retail,Consumer Discretionary,Common Stock
HPP UN Equity,Hudson Pacific Properties Inc,14.17,2007295744,Equity Real Estate Investment Trusts (REITs),Real Estate,REIT
BFH UN Equity,Bread Financial Holdings Inc,38.37,1912578048,Consumer Finance,Financials,Common Stock
MCY UN Equity,Mercury General Corp,32.32,1789594880,Insurance,Financials,Common Stock
